full_name,avg_suspicious_score,max_suspicious_score,total_trades,high_risk_trades,risk_percentage
Daniel S Sullivan,0.362,0.539,169,126,74.6
Shelley M Capito,0.209,0.527,683,265,38.8
"William F Hagerty, IV",0.185,0.505,34,13,38.2
Thomas R Carper,0.179,0.538,1278,373,29.2
William Cassidy,0.148,0.512,207,48,23.2
Cory A Booker,0.079,0.269,13,1,7.7
"David A Perdue , Jr",0.076,0.54,3555,246,6.9
John F Reed,0.071,0.43,224,14,6.2
"Jerry Moran,  ",0.068,0.445,276,10,3.6
Tammy Duckworth,0.067,0.194,15,0,0.0
Susan M Collins,0.065,0.44,574,22,3.8
John Boozman,0.064,0.404,166,6,3.6
Michael  B Enzi,0.063,0.063,1,0,0.0
"Angus S King, Jr.",0.061,0.374,45,1,2.2
Thomas Udall,0.061,0.072,3,0,0.0
Katie Britt,0.061,0.061,1,0,0.0
Bernie Moreno,0.06,0.06,1,0,0.0
Thomas R Tillis,0.06,0.331,101,1,1.0
Marco Rubio,0.059,0.063,2,0,0.0
Sheldon Whitehouse,0.058,0.514,961,39,4.1
John N Kennedy,0.058,0.065,3,0,0.0
Patty Murray,0.055,0.07,161,0,0.0
Thomas H Tuberville,0.055,0.434,1281,41,3.2
Rafael E Cruz,0.054,0.279,15,1,6.7
Ashley Moody,0.054,0.329,57,2,3.5
Patrick J Toomey,0.053,0.392,294,7,2.4
Gary C Peters,0.052,0.41,79,1,1.3
"Robert P Casey, Jr.",0.051,0.051,1,0,0.0
Rand Paul,0.05,0.05,1,0,0.0
Markwayne Mullin,0.05,0.407,273,4,1.5
"Joseph Manchin, III",0.049,0.049,1,0,0.0
Kelly Loeffler,0.049,0.385,377,7,1.9
James Banks,0.049,0.049,1,0,0.0
Rick Scott,0.048,0.062,6,0,0.0
Benjamin L Cardin,0.048,0.057,3,0,0.0
Pat Roberts,0.048,0.407,536,11,2.1
Roger F Wicker,0.047,0.066,6,0,0.0
Ladda Tammy Duckworth,0.047,0.071,9,0,0.0
Jacklyn S Rosen,0.047,0.077,14,0,0.0
John Cornyn,0.046,0.059,2,0,0.0
John Hoeven,0.046,0.326,206,3,1.5
Maria Cantwell,0.045,0.067,6,0,0.0
Christopher A Coons,0.045,0.067,7,0,0.0
James M Inhofe,0.044,0.355,242,3,1.2
Chris Van Hollen,0.044,0.067,7,0,0.0
Cynthia M Lummis,0.044,0.055,2,0,0.0
John P Ricketts,0.043,0.059,25,0,0.0
John W Hickenlooper,0.042,0.17,109,0,0.0
Ron L Wyden,0.042,0.203,280,0,0.0
Mike Rounds,0.042,0.042,1,0,0.0
John Fetterman,0.041,0.054,2,0,0.0
"A. Mitchell McConnell, Jr.",0.04,0.351,38,1,2.6
Lindsey Graham,0.04,0.052,7,0,0.0
Roy Blunt,0.039,0.067,15,0,0.0
Debra S Fischer,0.038,0.053,4,0,0.0
John R Thune,0.038,0.043,2,0,0.0
Timothy M Kaine,0.038,0.045,3,0,0.0
Mark R Warner,0.038,0.065,9,0,0.0
Michael F Bennet,0.036,0.055,3,0,0.0
Tina Smith,0.035,0.072,33,0,0.0
Steve Daines,0.034,0.035,2,0,0.0
David H McCormick,0.033,0.059,23,0,0.0
JD Vance,0.006,0.006,1,0,0.0
